Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Sing 2,110,English,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",2021,"Animation, Family, Music, Comedy","stage, villain, sequel, anthropomorphism, singing, animal","Scarlett Johansson, Reese Witherspoon, Taron Egerton, Bobby Cannavale, Matthew McConaughey",Garth Jennings,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling ","Universal Pictures, Illumination",https://www.illumination.com/movie/sing-2/
The King's Man,131,English,"As a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them.",2021,"Action, Comedy, Adventure, Thriller","london, england, world war i, spy, based on comic, prequel, rasputin, world domination, duringcreditsstinger, 1910s, spy universe, admiring","Tom Hollander, Rhys Ifans, Gemma Arterton, Ralph Fiennes, Matthew Goode",Matthew Vaughn,fuboTV ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Marv, Cloudy Productions, 20th Century Studios",https://www.20thcenturystudios.com/movies/the-kings-man
Black Widow,134,English,"Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",2021,"Action, Adventure, Science Fiction","assassin, hero, spy, kgb, based on comic, female assassin, female spy, female hero, aftercreditsstinger, marvel cinematic universe (mcu), woman director","Ray Winstone, Scarlett Johansson, Florence Pugh, Rachel Weisz, David Harbour",Cate Shortland,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ",Marvel Studios,https://www.marvel.com/movies/black-widow
Mírame,96,Spanish,"Lalo is a teenager tormented by the recent death of his dad, and being forced to move to an old house with his grandmother Elena. After taking his dad's old wristwatch, the ghost of a young girl begins to haunt him. Now, Lalo's life is in danger as he tries to unfold the mysterious ghost who keeps frightening him, hoping to stop her from dragging him for good.",2021,Horror,"family secrets, murder, swimmer, ghost, xochimilco, haunted","Darío T. Pie, Michelle Polanco, Axel Alpuche, Leticia Huijara, Regina Reynoso",Pavel Cantú,,,,"EFICINE 189, Spectrum",https://www.spectrumfilms.info/films/mirame.html
Shang-Chi and the Legend of the Ten Rings,132,English,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,2021,"Action, Adventure, Fantasy","martial arts, superhero, based on comic, mixed martial arts, east asian lead, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), father son relationship","Simu Liu, Awkwafina, Florian Munteanu, Meng'er Zhang, Fala Chen",Destin Daniel Cretton,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ",Marvel Studios,https://www.marvel.com/movies/shang-chi-and-the-legend-of-the-ten-rings
The Boss Baby: Family Business,107,English,The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,2021,"Animation, Comedy, Adventure, Family","baby, boss, sequel, sibling, family","Alec Baldwin, Amy Sedaris, Ariana Greenblatt, James Marsden, Jeff Goldblum",Tom McGrath,"fuboTV, Peacock Premium, USA Network ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","DreamWorks Animation, Universal Pictures",https://www.dreamworks.com/movies/the-boss-baby-2
Venom: Let There Be Carnage,97,English,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",2021,"Science Fiction, Action, Adventure","hero, psychopath, superhero, anti hero, villain, based on comic, sequel, creature, fear, aftercreditsstinger, symbiote, carnage, venom character","Woody Harrelson, Naomie Harris, Tom Hardy, Michelle Williams, Reid Scott",Andy Serkis,fuboTV ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Columbia Pictures, Pascal Pictures, Matt Tolmach Productions, Arad Productions",https://www.venom.movie
Eva,95,Tagalog,"When Eva gets involved in a steamy threesome with a houseboy and her lady boss, she realizes she has to choose only one between them.",2021,"Drama, Romance",,"Angeli Khang, Angelica Cervantes, Marco Gomez, Ava Mendez, Ivan Padilla",Jeffrey Hidalgo,,"Google Play Movies, YouTube ","Google Play Movies, YouTube ","Viva Films, Vivamax",https://www.vivamax.net/movie/T97885#/extra
Nobody,92,English,"Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.",2021,"Action, Thriller","assassin, double life, midlife crisis, bratva (russian mafia), secret organization, thief, home invasion, family, duringcreditsstinger","Bob Odenkirk, Aleksey Serebryakov, Christopher Lloyd, Connie Nielsen, Michael Ironside",Ilya Naishuller,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","87North Productions, Odenkirk Provissiero Entertainment, Eighty Two Films",https://www.nobody.movie
Meteor,84,English,"After a meteor collides into Earth, a lonely rancher and a lost young girl are on the run from vicious mercenaries.",2021,"Science Fiction, Thriller",,"Olivia Nash, Allyn Carrell, Jordan Walker Ross, Robert Keith, Thom Hallum",Brett Bentman,,"Amazon Video, Vudu ","Amazon Video, Vudu ","B22 Films, ITN Studios",Unknown
The Kindred,94,English,"After her father’s suicide, a young mother investigates what led to his death. But when she is haunted by spirits and unearths an unsolved mystery from 30 years ago, she discovers a dark family history that could prove deadly for her child.",2021,Horror,,"James Cosmo, Steve Oram, Samantha Bond, Blake Harrison, April Pearson",Jamie Patterson,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Parkhouse Pictures, AMP International, Jump Start Productions, Uniforms & Weapons Emporium",Unknown
Ad Libitum,87,Russian,"The talented and practical journalist German Krylov, in pursuit of sensation, finds himself in a company that sells a feeling of love. Unexpectedly for himself, he becomes the object of manipulation and falls into a trap from which it is difficult to get out.",2021,"Thriller, Adventure",,"Shamil Khamatov, Igor Petrenko, Darya Belousova, Evgeniya Kregzhde, Anton Fedorov",Polina Oldenburg,,,,Gramani Film,Unknown
Eternals,156,English,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",2021,"Science Fiction, Action, Adventure","superhero, supernatural, based on comic, alien, super power, aftercreditsstinger, marvel cinematic universe (mcu), sign languages, ancient, god-like","Kumail Nanjiani, Gemma Chan, Angelina Jolie, Richard Madden, Barry Keoghan",Chloé Zhao,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ",Marvel Studios,https://www.marvel.com/movies/the-eternals
Doors,84,English,"Without warning, millions of mysterious alien “doors” suddenly appear around the globe. In a rush to determine the reason for their arrival, mankind must work together to understand the purpose of these cosmic anomalies.",2021,Science Fiction,"portal, anthology","Kyp Malone, Wilson Bethel, Josh Peck, Jordan Rock, Lina Esco","Saman Kesh, Jeff Desom, Dugan O'Neal",Amazon Prime Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Bloody Disgusting, BoulderLight Pictures, Going Rogue",Unknown
The Warrior Princess,108,Mongolian,"Princess Khotulun is the daughter of Haidu Khan of the Ugudei dynasty. The film tells the story of Princess Khotulun, the son of Kublai Khan, known in Western and Eastern history as a wrestling princess, and her struggle to reclaim her Golden Sutra.",2021,"History, Action, Drama",,"Tserendolgor Munkhbat, Badrakh Battogtokh, Tumurtogtokh Davaakhuu, Altantur Altanjargal, Setgeltuvshin Bayarbat",S. Baasanjargal,"Hoopla, Film Movement Plus ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ",Shuuder Production,Unknown
Joey and Ella,99,English,"When a baby kangaroo gets accidentally swept up in a jewelry heist, she becomes separated from her mother for the first time in her young life. Alone and frightened, a worldly teenage girl Ella, who also knows the pain of losing her mother, discovers her and nurses Joey back to health. However, when Joey is falsely implicated in the robbery, Ella has to work quickly to reunite her with her mother before shes either captured by the bumbling jewel thieves or taken into custody by a determined detective hot on their trail.",2021,"Family, Adventure, Comedy",,"Avalon Howard, Brooks Ryan, Angela Tran, Britt Allen, Ashton Leigh",Stephen Shimek,Pure Flix ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, FlixFling ","Ace Entertainment Films, 101 Films, Lionsgate Home Entertainment, Grindstone Entertainment Group, Black Sheep Films, Lionsgate",https://www.ace-entertainment.com/tvmovies/joey-ella
#Blue_Whale,93,Russian,"The story of a girl who, in an attempt to understand the mysterious suicide of her younger sister, embarks on a dangerous game, hoping to stop the curators of the ""death group"" pushing teenagers to suicide.",2021,"Thriller, Horror, Drama","found footage, internet legend, screenlife","Ekaterina Stulova, Olga Pipchenko, Diana Shulmina, Anna Potebnya, Timofey Eletskiy",Anna Zaytseva,,,,"Bazelevs Production, KION",Unknown
State of Siege: Temple Attack,106,Hindi,"Based on the true incident of the 2002 terrorist attack in Gujarat's Akshardham temple, the story revolves around the bravery of NSG commandos, who stood up for their country and their people in the worst of times.",2021,"Action, Drama",based on true story,"Akshaye Khanna, Gautam Rode, Parvin Dabas, Abhimanyu Singh, Vivek Dahiya",Ken Ghosh,,,,Contiloe Pictures,Unknown
Tourist,0,Russian,Story of Russian military advisors in the Central African Republic,2021,Action,,"Aleksandr Baranovskiy, Aleksei Shevchenkov, Evgeny Terskikh, Georgy Bolonev, Sergey Vorobyov",Andrey Batov,,,,"3xMedia, Aurum Production, Paritet",Unknown
Tom Clancy's Without Remorse,109,English,An elite Navy SEAL uncovers an international conspiracy while seeking justice for the murder of his pregnant wife.,2021,"Adventure, Action, Thriller, War",duringcreditsstinger,"Jamie Bell, Guy Pearce, Lauren London, Michael B. Jordan, Jodie Turner-Smith",Stefano Sollima,Amazon Prime Video ,"Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Weed Road Pictures, Outlier Society, The Saw Mill, Paramount, New Republic Pictures, Skydance Media",https://www.amazon.com/dp/B08VFD1Y3B
The Forever Purge,103,English,All the rules are broken as a sect of lawless marauders decides that the annual Purge does not stop at daybreak and instead should never end as they chase a group of immigrants who they want to punish because of their harsh historical past.,2021,"Horror, Action, Thriller","texas, sequel, prequel, murder, desert, purge, family surviving alone, guns and weapons","Leven Rambin, Josh Lucas, Ana de la Reguera, Will Patton, Willow Beuoy",Everardo Gout,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Blumhouse Productions, Platinum Dunes, Universal Pictures, Perfect World Pictures, Man in A Tree",https://www.theforeverpurge.com
